2020-01-10,73.080002,73.800003,72.250000,73.089996,73.089996,1655100
2020-01-13,73.889999,75.580002,73.800003,74.029999,74.029999,3347100
2020-01-14,74.320000,75.114998,72.260002,73.160004,73.160004,1909500
2020-01-15,73.279999,77.779999,73.199997,76.940002,76.940002,3963500
2020-01-16,78.000000,78.790001,75.110001,76.110001,76.110001,2998300
2020-01-17,76.660004,76.900002,75.489998,75.559998,75.559998,1357400
2020-01-21,75.559998,77.120003,74.320000,76.730003,76.730003,1606700
2020-01-22,77.070000,77.106003,75.459999,75.540001,75.540001,1501600
2020-01-23,75.669998,75.970001,74.209999,74.470001,74.470001,1279000
2020-01-24,74.970001,76.184998,72.375000,73.000000,73.000000,1660200
2020-01-27,71.330002,72.132004,70.320000,70.440002,70.440002,1750700
2020-01-28,71.000000,72.480003,70.260002,71.510002,71.510002,1598200
2020-01-29,72.510002,74.139999,71.212997,73.580002,73.580002,1373400
2020-01-30,73.099998,74.800003,72.550003,74.540001,74.540001,1425400
2020-01-31,74.269997,76.669998,73.300003,76.300003,76.300003,2521700
2020-02-03,77.690002,88.940002,77.510002,87.660004,87.660004,13023400
2020-02-04,91.040001,93.300003,83.500000,85.790001,85.790001,10611000
2020-02-05,85.769997,90.970001,83.754997,86.989998,86.989998,5126800
2020-02-06,87.000000,89.440002,85.260002,87.260002,87.260002,2410800
2020-02-07,87.230003,90.599998,86.809998,88.639999,88.639999,2636600
2020-02-10,89.089996,89.980003,86.910004,89.669998,89.669998,2071600
2020-02-11,90.000000,90.500000,87.930000,88.680000,88.680000,2731900
2020-02-12,88.660004,89.500000,86.519997,88.279999,88.279999,1671100
2020-02-13,87.610001,91.930000,87.000000,89.860001,89.860001,3406400
2020-02-14,90.879997,91.709999,89.809998,90.949997,90.949997,2295000
2020-02-18,93.019997,98.139999,92.400002,96.389999,96.389999,5608200
2020-02-19,100.320000,105.080002,99.750000,103.930000,103.930000,7793800
2020-02-20,104.000000,110.750000,101.430000,105.290001,105.290001,11293200
2020-02-21,104.029999,104.290001,98.089996,101.760002,101.760002,5519200
2020-02-24,97.800003,110.000000,97.019997,105.010002,105.010002,12172800
2020-02-25,108.519997,111.800003,104.466003,107.080002,107.080002,13425900
2020-02-26,109.943001,111.300003,105.599998,106.879997,106.879997,6867500
2020-02-27,109.430000,118.000000,107.599998,113.550003,113.550003,13511800
2020-02-28,121.070000,121.930000,97.370003,105.000000,105.000000,21711000
2020-03-02,109.349998,114.500000,102.500000,113.110001,113.110001,10157400
2020-03-03,114.550003,119.199997,112.110001,117.470001,117.470001,11033700
2020-03-04,118.510002,119.970001,113.110001,116.800003,116.800003,12102600
2020-03-05,110.250000,129.830002,110.000000,125.000000,125.000000,28149400
2020-03-06,119.650002,122.000000,107.000000,114.320000,114.320000,22975700
2020-03-09,105.000000,116.500000,100.879997,113.750000,113.750000,14571300
2020-03-10,113.800003,113.800003,105.000000,108.489998,108.489998,10244000
2020-03-11,108.410004,113.989998,107.000000,110.300003,110.300003,12576700
2020-03-12,106.250000,113.871002,104.389999,109.470001,109.470001,12097900
2020-03-13,113.000000,113.800003,104.160004,107.470001,107.470001,9233500
2020-03-16,105.000000,119.870003,103.199997,107.860001,107.860001,17210700
2020-03-17,107.330002,113.830002,102.000000,111.099998,111.099998,18721500
2020-03-18,111.000000,119.000000,108.849998,118.709999,118.709999,13594300
2020-03-19,122.949997,132.229996,119.099998,123.769997,123.769997,16248400
2020-03-20,129.000000,135.979996,124.000000,130.550003,130.550003,13872600
2020-03-23,141.996994,164.940002,137.250000,159.559998,159.559998,27681500
2020-03-24,154.000000,155.000000,133.880005,135.179993,135.179993,22401300
2020-03-25,140.104996,149.000000,136.199997,138.110001,138.110001,14743000
2020-03-26,140.509995,146.649994,138.199997,141.149994,141.149994,9252700
2020-03-27,145.699997,154.970001,145.600006,151.699997,151.699997,13271900
2020-03-30,160.759995,161.690002,147.199997,150.880005,150.880005,15762200
2020-03-31,147.020004,149.789993,143.356995,146.119995,146.119995,10023700
2020-04-01,144.500000,144.600006,135.179993,137.000000,137.000000,11453300
2020-04-02,125.300003,133.488998,114.500000,121.930000,121.930000,27313800
2020-04-03,124.300003,128.479996,120.110001,128.199997,128.199997,12238100
2020-04-06,113.629997,125.175003,108.529999,122.940002,122.940002,25378900
2020-04-07,118.004997,118.440002,109.570999,113.750000,113.750000,20166200
2020-04-08,115.019997,125.877998,112.500000,117.809998,117.809998,26243300
2020-04-09,117.800003,125.500000,114.000000,124.510002,124.510002,15513000
